,4298.05,4413.08,4446.01,4446.05,4614.04,4659.02,4692.01,4846.01,4953.04,4993.13,4993.15,5001.08,5024.10,5073.08,5105.01,5114.06,5134.09,5137.10,5137.11,5175.08,5184.08,5207.01,5216.04,5238.05,5247.10,5256.06,5262.09,5288.12,5297.02,5303.08,5348.10,5359.11,5359.13,5368.03,5382.06,5391.06,5430.08,5430.10,5445.07,5450.04,5453.01,5470.10,5470.12,5492.05,5509.02,5539.06,5539.08,5561.04,5561.06,5569.06,5578.02,5610.09,5616.01,5653.12,5679.05,5679.08,5687.04,5696.03,5730.08,5788.12,5847.01,5922.04,6022.04,6030.04,6039.06,6072.11,6072.16,6115.06,6115.09,6157.04,6190.03,6206.08,6215.04,6233.04,6306.01,6306.06,6364.07,6364.10,6389.09,6432.08,6432.09,6450.05,6459.04,6459.07,6492.08,6498.10,6526.01,6535.04,6541.03,6551.02,6578.01,6593.15,6611.02,6611.07,6617.09,6626.01,6650.07,6659.09,6691.11,6726.01,6740.01,6740.10,6756.05,6765.01,6779.05,6786.02,6816.07,6830.04,6854.05,6948.10,6955.05,7023.04,7175.05,7188.13,8057.02,8358.03,HB101,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB407,HB408,HB409,HB410,HB501,HB502,HB503,HB505,HB506,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145,JC148,JC149
4298.05,0.0,0.3882,0.477,0.6134,1.1279,1.7828,2.3317,2.5987,2.5624,2.5893,2.7265,3.2205,2.8145,3.3063,3.2503,3.4749,3.7503,3.3406,3.1742,3.4174,3.6605,3.4526,3.6311,3.3841,3.6659,3.8994,3.4321,3.8632,4.1097,3.498,4.3871,3.9921,3.9407,4.3052,3.9995,4.131,4.1827,4.2243,4.2468,5.3092,4.2474,4.5012,4.3894,4.371,4.62,4.4998,4.6555,4.4793,4.6355,4.728,4.7808,4.7047,4.8813,4.9264,4.9176,4.8109,4.9822,5.2102,5.2699,5.4957,5.6825,5.9049,6.0435,6.1312,6.3974,6.4967,6.3595,6.4351,6.7619,6.6906,6.7983,6.8955,6.7888,7.2236,7.0522,7.1808,7.3604,7.4321,7.5239,7.743,7.7779,7.5257,7.568,7.7975,7.7509,8.0526,7.7667,8.0583,8.1708,8.0907,8.155,8.2803,8.2034,8.2301,8.5919,8.3629,8.654,8.5555,8.7679,8.6181,8.7917,8.7114,8.8006,8.7064,8.9976,8.7456,9.0091,9.2244,8.9786,9.3946,9.4982,9.7501,10.5363,10.9357,17.3942,19.1398,6.6747,6.682,6.8407,6.7019,7.9628,8.2198,8.446,7.4854,7.6724,7.7298,8.0066,8.1705,7.3217,7.3288,7.3218,7.6632,7.0423,7.8034,7.9744,7.9884,8.2759,8.2832,8.551,7.4139,7.277,7.6086,7.1003,6.7456,8.3815,7.0547,6.7839,4.8623,5.7645,5.6883,6.061,6.5736,5.4689,5.5129,8.0462,7.6321,7.5072,7.8714,6.6726,8.28,6.4578,6.2037,7.5208,6.0654,4.9347,8.5763,6.1401,8.5499,7.8504,8.0596,8.3307,7.8781,8.7037,5.9978,5.0374,6.3234,6.6776,6.4379,7.725,6.7854,8.8455,6.7984,6.0088,7.1094,8.1705,8.2298,7.9073,5.5916,5.8211,6.3423,5.1907,8.1234,7.373,7.9472,8.3117,8.042,5.9779,5.8454,5.0868,6.4376,6.6405,7.1756,7.3488,7.7774,8.0939,7.4542,8.7741,7.4799,8.7957,9.0247,7.8977,7.4674,8.3866,9.1621,8.5292,8.1935,8.0527,7.4138,8.3677,8.0634,8.7844,8.949,5.5294,5.4842
4413.08,0.3882,0.0,0.2731,0.5264,0.7831,1.6105,2.1666,2.2719,2.1972,2.2297,2.3634,2.8909,2.4391,2.953,2.8847,3.1353,3.472,2.9591,2.7967,3.0451,3.3032,3.0688,3.2579,2.9959,3.2825,3.5351,3.07,3.4897,3.7487,3.1204,4.1058,3.6071,3.5571,3.9385,3.6128,3.7433,3.7983,3.8383,3.8752,5.0453,3.8651,4.1199,4.0091,3.9837,4.2388,4.1154,4.2691,4.0937,4.2493,4.3398,4.3976,4.3175,4.5284,4.5407,4.5309,4.4252,4.5942,4.827,4.8841,5.1165,5.2952,5.5173,5.6601,5.7435,6.0098,6.1087,5.9714,6.047,6.374,6.3029,6.4101,6.5218,6.4061,6.8356,6.664,6.7927,6.98,7.0521,7.1566,7.3742,7.4092,7.1407,7.1802,7.4097,7.3649,7.6939,7.3829,7.671,7.8092,7.7182,7.7673,7.9047,7.817,7.8431,8.2303,7.9922,8.2993,8.188,8.4102,8.2315,8.4183,8.3375,8.4147,8.3187,8.6211,8.3634,8.6304,8.8681,8.5969,9.0185,9.1144,9.3689,10.1612,10.5785,17.0539,18.7805,6.3109,6.3133,6.4764,6.3353,7.582,7.8384,8.0658,7.1219,7.3062,7.3612,7.643,7.8061,6.9742,6.9756,6.9636,7.3124,6.6852,7.447,7.6027,7.6105,7.9068,7.9073,8.175,7.0462,6.9026,7.2338,6.7371,6.3783,8.0084,6.6824,6.42,4.5551,5.4713,5.369,5.7104,6.2507,5.1859,5.2048,7.735,7.3266,7.2366,7.5423,6.3729,7.941,6.1439,5.9029,7.1937,5.7788,4.642,8.3574,5.9035,8.3004,7.5805,7.7064,7.968,7.6816,8.3987,5.6534,4.7523,6.016,6.3695,6.1451,7.4829,6.5525,8.5098,6.4927,5.6996,6.8793,7.9069,7.9589,7.6551,5.299,5.487,6.0596,4.8913,7.8205,7.0388,7.762,8.1452,7.7494,5.7084,5.5441,4.7735,6.1969,6.4167,6.9689,7.1306,7.5511,7.8778,7.2608,8.574,7.3126,8.6318,8.8472,7.7611,7.3303,8.2453,9.0159,8.4038,8.0753,7.9546,7.3151,8.1848,7.8908,8.6524,8.7196,5.2092,5.1673
4446.01,0.477,0.2731,0.0,0.2585,0.9586,1.3565,1.9122,2.4375,2.3085,2.3512,2.4774,3.0492,2.5247,3.0801,2.9903,3.2806,3.2776,3.0218,2.8741,3.1353,3.4221,3.1207,3.3449,3.0027,3.3356,3.6405,2.9738,3.5751,3.8594,3.0619,3.9139,3.6512,3.6087,4.0374,3.595,3.765,3.8449,3.8752,3.7987,4.8413,3.8218,4.179,4.0724,3.9712,4.298,4.1612,4.3024,4.0666,4.2263,4.3484,4.4481,4.3429,4.4145,4.5779,4.5116,4.3986,4.6066,4.8773,4.9202,5.0602,5.3187,5.5375,5.6193,5.7328,6.0294,6.1028,5.9799,6.0552,6.3877,6.3204,6.4097,6.4484,6.3618,6.8481,6.6671,6.7928,6.9263,6.9971,7.0679,7.2888,7.3235,7.107,7.1692,7.3995,7.3375,7.5885,7.3431,7.6545,7.7091,7.6413,7.755,7.8357,7.7921,7.8235,8.13,7.9107,8.1871,8.0994,8.3029,8.2083,8.3434,8.2639,8.3861,8.3063,8.5545,8.316,8.5703,8.7585,8.5474,8.9506,9.0737,9.3172,10.0902,10.4702,16.9204,18.675,6.4112,6.4039,6.5754,6.43,7.6381,7.8923,8.1235,7.222,7.4006,7.4507,7.7423,7.9037,7.1005,7.0935,7.0734,7.4336,6.7971,7.5592,7.6852,7.676,7.9948,7.9785,8.2461,7.138,6.9788,7.3086,6.8383,6.4715,8.0869,6.7642,6.5201,4.7302,5.6564,5.531,5.8339,6.4077,5.3792,5.3778,7.9021,7.4993,7.4364,7.6913,6.5517,8.0777,6.31,6.0812,7.3452,5.9686,4.8291,8.5857,6.1246,8.5127,7.7804,7.8237,8.069,7.9199,8.5711,5.7858,4.9449,6.1885,6.5408,6.3297,7.6999,6.775,8.6502,6.6661,5.8708,7.103,8.1107,8.1579,7.8661,5.485,5.6327,6.2521,5.0723,7.9951,7.1823,8.0044,8.3939,7.9327,5.9105,5.7226,4.9424,6.4156,6.6438,7.2033,7.3599,7.7762,8.1076,7.5004,8.8103,7.5615,8.8812,9.092,8.0184,7.5877,8.5013,9.2704,8.6637,8.3368,8.22,7.5806,8.4279,8.1377,8.9107,8.9424,5.3704,5.3319
4446.05,0.6134,0.5264,0.2585,0.0,1.1942,1.1695,1.7188,2.656,2.4931,2.5423,2.6626,3.2612,2.6895,3.2714,3.1671,3.4835,3.1662,3.1663,3.0307,3.3001,3.6065,3.2562,3.5065,3.1015,3.4709,3.8146,2.9759,3.7345,4.0368,3.1007,3.8031,3.7777,3.7415,4.2057,3.6687,3.8725,3.9729,3.9949,3.8159,4.7129,3.8709,4.3159,4.213,4.0479,4.4347,4.2873,4.4177,4.1297,4.2925,4.4425,4.5772,4.4514,4.391,4.6957,4.5804,4.4609,4.7032,5.0051,5.0362,5.0926,5.4231,5.6387,5.6651,5.8063,6.1291,6.18,6.0702,6.145,6.4817,6.4178,6.4912,6.4613,6.4031,6.9403,6.7514,6.8742,6.9577,7.0272,7.0648,7.2887,7.3229,7.1572,7.2402,7.471,7.3932,7.5676,7.3873,7.7199,7.6935,7.6491,7.8241,7.8511,7.8496,7.8858,8.1138,7.9136,8.1585,8.0951,8.2795,8.267,8.3526,8.2745,8.4396,8.3747,8.5716,8.3518,8.5937,8.7321,8.5809,8.966,9.1153,9.3481,10.1018,10.444,16.8654,18.6489,6.5764,6.5616,6.7395,6.591,7.7668,8.0189,8.2531,7.3863,7.5603,7.6065,7.9055,8.0656,7.2846,7.2714,7.2452,7.6137,6.9707,7.7325,7.8352,7.8125,8.149,8.1194,8.3865,7.2959,7.1246,7.4528,7.0037,6.6313,8.2335,6.9145,6.685,4.9497,5.8815,5.7413,6.017,6.614,5.6094,5.5954,8.1144,7.7154,7.6694,7.8912,6.7723,8.2688,6.5225,6.3017,7.5472,6.1963,5.0559,8.8336,6.3696,8.7525,8.0134,8.0006,8.2333,8.1723,8.7866,5.9754,5.1749,6.4051,6.7566,6.554,7.9423,7.0205,8.8437,6.8831,6.0869,7.349,8.3459,8.3902,8.1054,5.7107,5.8318,6.4813,5.2953,8.2123,7.3787,8.2586,8.6501,8.1554,6.1454,5.9434,5.1578,6.6592,6.8916,7.4543,7.6085,8.0228,8.3563,7.7535,9.0619,7.8177,9.1376,9.3469,8.2766,7.8459,8.7593,9.5281,8.9221,8.5954,8.4782,7.8388,8.6822,8.3933,9.169,9.1878,5.5805,5.5441
4614.04,1.1279,0.7831,0.9586,1.1942,0.0,1.9424,2.4604,1.4895,1.4397,1.4626,1.6016,2.1078,1.7081,2.1785,2.1265,2.3533,3.4196,2.252,2.0713,2.3016,2.5327,2.3763,2.5162,2.3858,2.5853,2.7739,2.7073,2.7483,2.9826,2.6552,4.0262,2.9201,2.8592,3.1813,3.0401,3.0917,3.1054,3.1601,3.4353,4.9976,3.3442,3.4066,3.291,3.3939,3.5246,3.4211,3.5927,3.5328,3.6774,3.7049,3.6944,3.6534,4.1782,3.8562,3.9478,3.8587,3.95,4.1218,4.199,4.608,4.6276,4.8538,5.1118,5.1331,5.345,5.4873,5.325,5.4009,5.7173,5.6404,5.7774,6.042,5.86,6.1793,6.0241,6.1574,6.4514,6.5259,6.7104,6.9185,6.9544,6.5683,6.5636,6.7905,6.779,7.289,6.822,7.0628,7.3893,7.2399,7.151,7.4066,7.2244,7.2403,7.809,7.524,7.91,7.7364,8.0065,7.634,7.9319,7.8483,7.8275,7.7009,8.1145,7.8149,8.1089,8.4691,8.0524,8.5137,8.5494,8.8265,9.66,10.1698,16.7048,18.3517,5.5482,5.5585,5.7144,5.5769,6.8612,7.12,7.3423,6.3586,6.5471,6.6061,6.8799,7.0441,6.1961,6.2013,6.194,6.5364,5.9144,6.6756,6.8537,6.8787,7.1525,7.169,7.4366,6.2896,6.1604,6.4927,5.9734,5.6211,7.2627,5.9352,5.6574,3.777,4.6993,4.5868,4.9342,5.4678,4.4207,4.4259,6.9542,6.5478,6.478,6.7592,5.597,7.1595,5.3627,5.1266,6.4106,5.0105,3.8713,7.6456,5.1779,7.5583,6.8221,6.9322,7.2036,6.9967,7.6199,4.8736,3.9864,5.237,5.5901,5.3728,6.7487,5.8292,7.7275,5.7142,4.92,6.1583,7.1531,7.1994,6.9112,4.5276,4.7043,5.2937,4.1165,7.0426,6.2562,7.0906,7.4968,6.9763,4.9527,4.7679,3.993,5.4663,5.7035,6.2736,6.4219,6.8327,7.1698,6.5806,7.8827,6.6658,7.9856,8.1829,7.155,6.7254,7.631,8.3926,7.8117,7.4951,7.4053,6.768,7.5152,7.2352,8.0501,7.9961,4.4268,4.3856
4659.02,1.7828,1.6105,1.3565,1.1695,1.9424,0.0,0.5562,3.1048,2.7498,2.8311,2.9055,3.6236,2.8162,3.5008,3.3176,3.773,2.0921,3.1399,3.0801,3.3733,3.7738,3.1756,3.5476,2.851,3.3738,3.9091,2.3038,3.75,4.1392,2.575,2.7195,3.6162,3.6143,4.2471,3.2583,3.6101,3.8074,3.787,3.1529,3.5873,3.3393,4.1806,4.1018,3.6306,4.293,4.0975,4.1675,3.6472,3.8168,4.0881,4.3907,4.1666,3.5523,4.4469,4.1042,3.961,4.3509,4.7965,4.7667,4.4463,5.0852,5.2796,5.0599,5.3162,5.7519,5.6981,5.6498,5.7209,6.0708,6.0238,6.023,5.7132,5.7652,6.5135,6.2912,6.3993,6.2729,6.3364,6.2523,6.4843,6.5166,6.5444,6.7135,6.9435,6.7999,6.6913,6.7473,7.1633,6.8335,6.8693,7.2821,7.0966,7.2585,7.3143,7.2486,7.1143,7.2542,7.2695,7.3901,7.6766,7.5715,7.4988,7.8258,7.8239,7.8171,7.6692,7.8621,7.8311,7.8875,8.2026,8.4486,8.6389,9.3182,9.5361,15.8663,17.7253,6.5317,6.4741,6.6855,6.5214,7.5046,7.7428,7.9894,7.3229,7.4681,7.4916,7.829,7.9788,7.3424,7.2907,7.2278,7.6414,6.9687,7.7171,7.6852,7.5898,8.018,7.9157,8.1778,7.1971,6.9615,7.2765,6.9526,6.5542,8.0597,6.78,6.6367,5.2993,6.2539,6.0034,6.0913,6.8307,6.0301,5.9147,8.3545,7.9897,8.0862,8.0453,7.0933,8.3588,6.7856,6.6302,7.7192,6.5854,5.4604,9.404,6.9257,9.2273,8.4269,8.0037,8.1586,8.8133,9.0446,6.0918,5.6035,6.7019,7.0405,6.9089,8.4526,7.5748,8.9432,7.1749,6.3846,7.9063,8.777,8.794,8.58,6.0914,6.014,6.8784,5.6628,8.489,7.5153,8.928,9.3622,8.4778,6.5998,6.2807,5.4708,7.1966,7.4752,8.0771,8.1967,8.5812,8.9404,8.4077,9.6833,8.5365,9.8518,10.0255,9.0603,8.6327,9.5288,10.2808,9.7246,9.4153,9.3384,8.7025,9.353,9.0931,9.9558,9.7221,5.8438,5.8245
4692.01,2.3317,2.1666,1.9122,1.7188,2.4604,0.5562,0.0,3.5136,3.1088,3.1977,3.2534,3.9907,3.1258,3.8237,3.6165,4.1107,1.7035,3.374,3.348,3.6399,4.0656,3.3848,3.7953,2.9971,3.5681,4.1683,2.2459,3.9807,4.3959,2.5903,2.3018,3.7725,3.7865,4.4759,3.3034,3.7183,3.9558,3.9159,3.0544,3.1129,3.3135,4.3327,4.267,3.6583,4.4393,4.2261,4.2652,3.6384,3.8065,4.1353,4.5137,4.2471,3.3219,4.5384,4.0856,3.9331,4.3925,4.9001,4.8412,4.3212,5.1192,5.2994,4.9481,5.2655,5.7552,5.6464,5.6318,5.7,6.0524,6.0149,5.9746,5.5065,5.6244,6.4816,6.2439,6.3429,6.0988,6.1581,5.9997,6.2349,6.2657,6.4097,6.6258,6.8531,6.6742,6.3939,6.5952,7.0549,6.5459,6.6324,7.1809,6.8737,7.13,7.1964,6.9551,6.8635,6.9349,7.0012,7.0801,7.5454,7.3292,7.2602,7.6805,7.7138,7.5895,7.4853,7.6481,7.5113,7.6958,7.9675,8.2693,8.4338,9.0659,9.2056,15.4665,17.3725,6.6871,6.6105,6.835,6.6655,7.5476,7.777,8.0278,7.4623,7.593,7.6056,7.9582,8.1022,7.5361,7.4678,7.389,7.8195,7.1391,7.8753,7.7812,7.6515,8.1205,7.9842,8.2419,7.3212,7.0574,7.3632,7.101,6.6945,8.1415,6.8912,6.7894,5.633,6.5863,6.2953,6.3043,7.0964,6.3827,6.23,8.6193,8.2706,8.4234,8.2757,7.3991,8.5594,7.0706,6.9424,7.9595,6.9215,5.8126,9.7939,7.321,9.5818,8.761,8.1681,8.2863,9.2307,9.3133,6.3228,5.963,7.001,7.3318,7.2294,8.8237,7.966,9.1447,7.4684,6.6869,8.2971,9.1165,9.1227,8.937,6.4285,6.2733,7.2153,5.9991,8.7682,7.7419,9.355,9.8029,8.7756,6.9603,6.5994,5.7885,7.5837,7.8774,8.4906,8.5974,8.9696,9.3369,8.831,10.091,8.9816,10.2921,10.4529,9.5257,9.1,9.9886,10.7334,10.1949,9.8917,9.8277,9.194,9.7793,9.5301,10.4205,10.0975,6.1378,6.1256
4846.01,2.5987,2.2719,2.4375,2.656,1.4895,3.1048,3.5136,0.0,0.5416,0.4463,0.5303,0.622,0.8101,0.7987,0.8859,0.8894,3.8626,1.2757,1.0519,1.1216,1.1562,1.4365,1.3124,1.76,1.5817,1.4388,2.6692,1.5185,1.6099,2.3844,4.3575,1.906,1.81,1.8454,2.3952,2.1851,2.0464,2.1504,3.089,5.3125,2.8014,2.243,2.1168,2.6477,2.3496,2.3271,2.5487,2.8544,2.9519,2.7876,2.5491,2.6463,3.9558,2.7659,3.1643,3.1303,2.9843,2.9472,3.088,3.9742,3.5517,3.781,4.346,4.201,4.2516,4.5113,4.285,4.3592,4.6364,4.545,4.7613,5.4041,5.0674,5.0881,4.9814,5.124,5.6818,5.76,6.1271,6.3068,6.3435,5.6871,5.5695,5.7851,5.8584,6.781,5.9629,6.0796,6.8452,6.5669,6.1453,6.6835,6.2773,6.2671,7.2506,6.8668,7.4195,7.1121,7.4824,6.6671,7.2237,7.1356,6.8822,6.682,7.356,6.9637,7.3159,7.9448,7.206,7.7518,7.6461,7.9724,8.8886,9.5954,16.1983,17.6727,4.1465,4.1839,4.3142,4.1899,5.5786,5.8415,6.0479,4.9501,5.1514,5.223,5.4697,5.6369,4.7356,4.7553,4.7644,5.0832,4.4821,5.2384,5.4877,5.564,5.7689,5.8331,6.0986,4.9031,4.821,5.1536,4.5656,4.2377,5.9041,4.5819,4.2551,2.2938,3.2282,3.0973,3.4845,3.9789,2.9675,2.9404,5.4656,5.0617,5.0324,5.2733,4.1163,5.6833,3.8738,3.6457,4.9235,3.5471,2.4066,6.2995,3.8209,6.1453,5.3759,5.4844,5.7878,5.7175,6.1335,3.4085,2.534,3.7509,4.1033,3.8997,5.3569,4.4704,6.2472,4.2287,3.4333,4.8019,5.716,5.7501,5.4969,3.0584,3.2228,3.8349,2.6402,5.5577,4.7745,5.8419,6.2963,5.4998,3.5205,3.2874,2.505,4.0935,4.3711,4.9783,5.0925,5.4771,5.8357,5.3175,6.5815,5.4803,6.7848,6.9396,6.0562,5.637,6.5062,7.2384,6.7342,6.4491,6.4305,5.8118,6.266,6.0212,6.9465,6.6223,2.9373,2.8962
4953.04,2.5624,2.1972,2.3085,2.4931,1.4397,2.7498,3.1088,0.5416,0.0,0.1004,0.1696,0.8819,0.3311,0.7824,0.688,1.0283,3.3358,0.8851,0.6725,0.8668,1.114,1.0358,1.0816,1.2643,1.221,1.3379,2.1278,1.3128,1.5526,1.8512,3.8203,1.5617,1.4825,1.7428,1.9241,1.7969,1.7304,1.8099,2.5729,4.7728,2.3148,1.9956,1.8751,2.2112,2.1113,2.0367,2.2338,2.4018,2.5147,2.4165,2.2933,2.314,3.4323,2.4794,2.7488,2.6967,2.6373,2.7143,2.8169,3.5243,3.2651,3.4945,3.9375,3.852,3.9791,4.1832,3.9852,4.0608,4.3593,4.2751,4.4529,4.9655,4.6726,4.8184,4.6867,4.8256,5.2828,5.3602,5.6782,5.8657,5.9023,5.3268,5.2549,5.4764,5.5141,6.3174,5.5956,5.7621,6.3898,6.143,5.8381,6.2744,5.9453,5.946,6.7998,6.4397,6.9541,6.6771,7.0245,6.3447,6.812,6.725,6.5514,6.3824,6.9599,6.5973,6.9307,7.4881,6.8386,7.3579,7.3008,7.6098,8.5003,9.1538,15.748,17.2663,4.1138,4.1197,4.2794,4.1395,5.4315,5.6916,5.9106,4.9248,5.1102,5.1675,5.4459,5.6092,4.7929,4.7852,4.7681,5.1251,4.4906,5.2527,5.414,5.4429,5.7137,5.7307,5.9982,4.8515,4.7214,5.0538,4.54,4.1831,5.823,4.4955,4.2229,2.5512,3.5052,3.2861,3.5258,4.1425,3.2819,3.175,5.6566,5.2736,5.3365,5.4053,4.3569,5.7759,4.071,3.8903,5.0646,3.8359,2.7117,6.6865,4.2177,6.4809,5.6773,5.5155,5.7709,6.1437,6.3388,3.4824,2.8578,3.9725,4.3173,4.1639,5.7156,4.86,6.3515,4.449,3.6537,5.1906,6.0273,6.045,5.8344,3.342,3.347,4.1288,2.9137,5.773,4.889,6.2809,6.7518,5.7442,3.8552,3.5377,2.7309,4.4764,4.7781,5.4009,5.496,5.862,6.2322,5.753,6.993,5.9444,7.2383,7.3765,6.5427,6.1276,6.9844,7.7058,7.2236,6.9464,6.9411,6.3271,6.703,6.473,7.4289,6.989,3.125,3.098
4993.13,2.5893,2.2297,2.3512,2.5423,1.4626,2.8311,3.1977,0.4463,0.1004,0.0,0.1485,0.7943,0.3888,0.7294,0.6686,0.9575,3.4361,0.9217,0.702,0.8664,1.0736,1.0771,1.0795,1.3372,1.2528,1.3118,2.2235,1.308,1.5204,1.9403,3.9196,1.5915,1.5076,1.7206,1.9902,1.8391,1.7541,1.8399,2.6547,4.8711,2.3862,2.0048,1.8824,2.2676,2.1189,2.0557,2.2592,2.4631,2.5717,2.456,2.3054,2.3437,3.5173,2.499,2.8003,2.753,2.6714,2.7227,2.8338,3.5858,3.2863,3.516,3.9883,3.8882,3.9982,4.2149,4.0103,4.0856,4.3798,4.2939,4.4803,5.0247,4.7204,4.8376,4.7113,4.8511,5.3319,5.4096,5.7403,5.9258,5.9625,5.3667,5.2842,5.5046,5.5503,6.3836,5.6373,5.7924,6.4539,6.1987,5.8661,6.3264,5.9789,5.9772,6.8627,6.4963,7.021,6.7357,7.0893,6.3763,6.8648,6.7775,6.585,6.409,7.0089,6.6391,6.977,7.5527,6.8807,7.4064,7.3379,7.651,8.5477,9.2146,15.8114,17.3188,4.0856,4.0973,4.2518,4.1146,5.426,5.6868,5.9035,4.8961,5.0846,5.1445,5.4174,5.5815,4.7498,4.7467,4.7341,5.0848,4.4555,5.2173,5.3946,5.4324,5.6911,5.7168,5.9842,4.8276,4.7062,5.039,4.511,4.159,5.8052,4.4777,4.1948,2.4745,3.4274,3.2203,3.4838,4.0816,3.199,3.1025,5.5927,5.2063,5.2563,5.3504,4.2849,5.7276,4.005,3.8173,5.008,3.7569,2.6293,6.5964,4.126,6.397,5.5976,5.4774,5.7413,6.0493,6.2731,3.4349,2.7733,3.9028,4.2491,4.0884,5.6287,4.7692,6.3016,4.3799,3.5838,5.1,5.9465,5.9664,5.7501,3.2631,3.2912,4.0493,2.8356,5.7055,4.8365,6.1853,6.6547,5.6725,3.7703,3.4635,2.6588,4.3862,4.6854,5.3067,5.4038,5.772,6.141,5.6576,6.9003,5.8466,7.1415,7.2812,6.4433,6.028,6.8856,7.6078,7.1241,6.8465,6.8408,6.2267,6.6076,6.3762,7.3298,6.9014,3.0592,3.03
