,HB106,JC003,HB101,JC066,5470.12,JC022,JC055,JC094,HB609,HB202
HB106,0.0,2.454,0.1399,1.1296,2.4211,1.98,3.4913,3.6873,0.0561,1.8477
JC003,2.454,0.0,2.3237,1.3551,2.8402,2.3263,2.175,2.5401,2.5073,4.2475
HB101,0.1399,2.3237,0.0,1.0117,2.4301,1.8774,3.358,3.5585,0.1868,1.9582
JC066,1.1296,1.3551,1.0117,0.0,2.1257,1.9545,2.8612,3.1435,1.1851,2.9695
5470.12,2.4211,2.8402,2.4301,2.1257,0.0,4.047,4.8643,5.1852,2.4554,3.8309
JC022,1.98,2.3263,1.8774,1.9545,4.047,0.0,1.8676,1.9238,1.9899,2.9206
JC055,3.4913,2.175,3.358,2.8612,4.8643,1.8676,0.0,0.38,3.5226,4.7668
JC094,3.6873,2.5401,3.5585,3.1435,5.1852,1.9238,0.38,0.0,3.7142,4.8444
HB609,0.0561,2.5073,0.1868,1.1851,2.4554,1.9899,3.5226,3.7142,0.0,1.7916
HB202,1.8477,4.2475,1.9582,2.9695,3.8309,2.9206,4.7668,4.8444,1.7916,0.0
