,HB106,JC003,HB101,JC066,5470.12,JC149,5297.02,JC032,HB105,HB612,JC133,JC006,JC022,JC055,JC094,HB609,HB202,HB103,JC109,HB603,JC093,JC103,HB602,HB407,JC057
HB106,0.0,2.454,0.1399,1.1296,2.4211,2.0327,2.5981,2.2316,0.18,0.1598,5.9488,1.8945,1.98,3.4913,3.6873,0.0561,1.8477,0.1073,3.0521,1.0321,3.8202,2.8424,0.7328,0.7489,1.5189
JC003,2.454,0.0,2.3237,1.3551,2.8402,0.6162,2.313,0.4699,2.4373,2.3854,3.628,0.6169,2.3263,2.175,2.5401,2.5073,4.2475,2.5326,2.2783,3.4068,2.5305,2.3689,3.1614,2.524,2.9563
HB101,0.1399,2.3237,0.0,1.0117,2.4301,1.916,2.5659,2.0943,0.1678,0.1092,5.8098,1.7719,1.8774,3.358,3.5585,0.1868,1.9582,0.2423,2.9277,1.1311,3.689,2.7244,0.8474,0.7035,1.4826
JC066,1.1296,1.3551,1.0117,0.0,2.1257,0.9042,1.96,1.2326,1.1514,1.0928,4.9434,0.7687,1.9545,2.8612,3.1435,1.1851,2.9695,1.1963,2.6191,2.138,3.2233,2.5256,1.8587,1.4248,2.0873
5470.12,2.4211,2.8402,2.4301,2.1257,0.0,2.2425,0.7564,3.0378,2.5839,2.535,6.2606,2.3409,4.047,4.8643,5.1852,2.4554,3.8309,2.3778,4.7178,3.24,5.2323,4.6469,2.9125,3.1279,3.9056
JC149,2.0327,0.6162,1.916,0.9042,2.2425,0.0,1.7714,0.8263,2.0535,1.9957,4.2215,0.2106,2.4087,2.6714,3.0172,2.0884,3.8735,2.0957,2.6535,3.0404,3.0366,2.6755,2.7629,2.2648,2.8297
5297.02,2.5981,2.313,2.5659,1.96,0.7564,1.7714,0.0,2.5976,2.7324,2.6751,5.5755,1.9202,3.9088,4.4427,4.7876,2.6437,4.2344,2.5851,4.3931,3.5454,4.8076,4.3735,3.2126,3.2154,3.9646
JC032,2.2316,0.4699,2.0943,1.2326,3.0378,0.8263,2.5976,0.0,2.184,2.1386,3.7282,0.697,1.862,1.8459,2.1912,2.2811,3.9546,2.3217,1.8565,3.1183,2.2118,1.9199,2.902,2.1824,2.542
HB105,0.18,2.4373,0.1678,1.1514,2.5839,2.0535,2.7324,2.184,0.0,0.0614,5.8835,1.9014,1.8123,3.3652,3.5497,0.178,1.8221,0.272,2.9069,0.9869,3.6881,2.6881,0.7243,0.5696,1.3424
HB612,0.1598,2.3854,0.1092,1.0928,2.535,1.9957,2.6751,2.1386,0.0614,0.0,5.8436,1.8454,1.8202,3.3468,3.5371,0.1772,1.8787,0.2635,2.8984,1.0452,3.6727,2.6853,0.7765,0.6062,1.3833
