,HB106,JC003,HB101,JC066,5470.12,JC149,5297.02,JC032,HB105,HB612,JC133,JC006,JC082,JC115,JC116,JC119,6459.07,JC138,5368.03,5175.08,5679.08,6432.09,6578.01,6765.01,JC074,JC022,JC055,JC094,HB609,HB202,HB103,JC109,HB603,JC093,JC103,HB602,HB407,JC057,JC009,JC072,HB201,HB304,JC084,JC110,JC095,HB203,JC018,JC105,JC034,JC081
HB106,0.0,2.454,0.1399,1.1296,2.4211,2.0327,2.5981,2.2316,0.18,0.1598,5.9488,1.8945,2.0435,2.2614,2.3078,4.5259,2.8629,6.7044,2.3969,3.2948,3.089,4.6385,3.1143,3.4778,2.063,1.98,3.4913,3.6873,0.0561,1.8477,0.1073,3.0521,1.0321,3.8202,2.8424,0.7328,0.7489,1.5189,1.6367,2.819,1.5997,1.3161,4.0281,2.9435,3.9289,1.9907,2.5769,1.5223,1.819,2.1597
JC003,2.454,0.0,2.3237,1.3551,2.8402,0.6162,2.313,0.4699,2.4373,2.3854,3.628,0.6169,0.4431,0.1971,0.815,2.3544,5.2283,4.4342,2.3569,2.9924,4.2132,6.7428,5.5147,5.9148,0.6474,2.3263,2.175,2.5401,2.5073,4.2475,2.5326,2.2783,3.4068,2.5305,2.3689,3.1614,2.524,2.9563,1.0973,0.7417,4.0188,3.2272,1.9551,0.5573,2.3771,4.3426,2.3262,1.9609,1.9761,1.0731
HB101,0.1399,2.3237,0.0,1.0117,2.4301,1.916,2.5659,2.0943,0.1678,0.1092,5.8098,1.7719,1.9098,2.1303,2.2027,4.3861,3.0028,6.5646,2.374,3.2769,3.1593,4.7723,3.2537,3.6148,1.9244,1.8774,3.358,3.5585,0.1868,1.9582,0.2423,2.9277,1.1311,3.689,2.7244,0.8474,0.7035,1.4826,1.4968,2.7054,1.7146,1.3321,3.8882,2.8087,3.7934,2.0911,2.4625,1.406,1.7017,2.0204
JC066,1.1296,1.3551,1.0117,0.0,2.1257,0.9042,1.96,1.2326,1.1514,1.0928,4.9434,0.7687,0.9876,1.1718,1.2083,3.5824,3.8759,5.7294,1.8481,2.7251,3.2597,5.4603,4.1598,4.5623,1.115,1.9545,2.8612,3.1435,1.1851,2.9695,1.1963,2.6191,2.138,3.2233,2.5256,1.8587,1.4248,2.0873,0.8848,1.6945,2.7262,2.1631,3.1163,1.8799,3.2272,3.096,2.3336,1.4235,1.6382,1.4078
5470.12,2.4211,2.8402,2.4301,2.1257,0.0,2.2425,0.7564,3.0378,2.5839,2.535,6.2606,2.3409,2.7507,2.7647,2.0706,5.1544,3.6752,7.0956,0.5517,1.0177,1.4422,4.4665,4.0342,4.5676,3.0247,4.047,4.8643,5.1852,2.4554,3.8309,2.3778,4.7178,3.24,5.2323,4.6469,2.9125,3.1279,3.9056,2.9767,2.5311,3.5734,3.7332,4.7899,3.3625,5.1581,4.0568,4.4593,3.5116,3.7516,3.4397
JC149,2.0327,0.6162,1.916,0.9042,2.2425,0.0,1.7714,0.8263,2.0535,1.9957,4.2215,0.2106,0.5614,0.5224,0.4042,2.9704,4.7049,5.0351,1.7827,2.4937,3.5999,6.1538,5.0053,5.4298,0.8774,2.4087,2.6714,3.0172,2.0884,3.8735,2.0957,2.6535,3.0404,3.0366,2.6755,2.7629,2.2648,2.8297,1.098,0.7934,3.6304,3.0,2.5678,1.1692,2.9278,3.9968,2.5704,1.9474,2.0527,1.3516
5297.02,2.5981,2.313,2.5659,1.96,0.7564,1.7714,0.0,2.5976,2.7324,2.6751,5.5755,1.9202,2.325,2.2794,1.5012,4.5432,4.3234,6.4125,0.2583,0.7664,2.1736,5.2187,4.6766,5.1954,2.6299,3.9088,4.4427,4.7876,2.6437,4.2344,2.5851,4.3931,3.5454,4.8076,4.3735,3.2126,3.2154,3.9646,2.7005,1.8776,3.9712,3.8973,4.2178,2.7904,4.6852,4.4386,4.224,3.3817,3.5802,3.0863
JC032,2.2316,0.4699,2.0943,1.2326,3.0378,0.8263,2.5976,0.0,2.184,2.1386,3.7282,0.697,0.2886,0.3588,1.1598,2.3499,5.072,4.5034,2.601,3.3169,4.3455,6.6927,5.3391,5.709,0.203,1.862,1.8459,2.1912,2.2811,3.9546,2.3217,1.8565,3.1183,2.2118,1.9199,2.902,2.1824,2.542,0.6969,1.2063,3.739,2.8549,1.8878,0.7394,2.1205,4.0287,1.8625,1.5225,1.5152,0.6061
HB105,0.18,2.4373,0.1678,1.1514,2.5839,2.0535,2.7324,2.184,0.0,0.0614,5.8835,1.9014,2.0147,2.2421,2.3517,4.4478,2.9528,6.6293,2.5387,3.4406,3.269,4.7686,3.1902,3.5323,2.0068,1.8123,3.3652,3.5497,0.178,1.8221,0.272,2.9069,0.9869,3.6881,2.6881,0.7243,0.5696,1.3424,1.559,2.8455,1.5848,1.1669,3.9449,2.908,3.8099,1.9447,2.4188,1.3686,1.6655,2.0663
HB612,0.1598,2.3854,0.1092,1.0928,2.535,1.9957,2.6751,2.1386,0.0614,0.0,5.8436,1.8454,1.965,2.1906,2.2917,4.4115,2.9838,6.5922,2.483,3.3857,3.2407,4.7841,3.2257,3.5739,1.9634,1.8202,3.3468,3.5371,0.1772,1.8787,0.2635,2.8984,1.0452,3.6727,2.6853,0.7765,0.6062,1.3833,1.5214,2.7873,1.6397,1.223,3.91,2.86,3.7884,2.0037,2.4187,1.3651,1.662,2.0343
